name,id,smc section,rhb section,f section,height m,height f,map 50,map 25,gref,gref2,x,y,air_closest,air_closest_x,air_closest_y,air_closest_pass_scotland,air_closest_pass_AF,air_closest_pass_AS,air_closest_pass_CA,air_closest_pass_EU,air_closest_pass_NA,air_closest_pass_OC,air_closest_pass_SA,air_closest_total,road_closest,road_closest_type,road_closest_numbers_2019_daily_av,road_closest_distance_m,road_closest_angle,road_closest_x,road_closest_y,station_closest_name,station_closest_line,station_closest_x,station_closest_y,station_closest_route_max_4_weeks,station_closest_route_commuter,station_closest_route_off peak,station_closest_route_peak,station_closest_route_total,station_closest_route_percent off peak
A' Bhuidheanach Bheag,113,5,05B,5,936,3071,42,OL51W 394W,NN660775,NN6605977594,266059,777594,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A9,A Road,9965.581518,7291.558679,109.7457158,263595.5736,784456.8244,Dalwhinnie,HGL2,263426.6504,784927.425,2019/P08,31868,200738,112875,4085,0.576131615
A' Chailleach,163,9,09B,9.2,929.2,3049,35,OL56 402,NH681041,NH6811004178,268110,804178,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A86,A Road,1161.698413,6183.250453,301.8926373,271376.792,798928.1756,Newtonmore,HGL2,271640.9566,798503.6558,2019/P08,31868,200738,112875,4085,0.576131615
A' Chailleach,249,14,14B,14.2,997,3271,19,435S,NH136714,NH1362171416,213621,871416,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A832,A Road,1022.038961,12697.01661,282.143827,216292.0261,859003.1095,Achnasheen,KYL,216397.2093,858514.2982,2019/P08,31868,200738,112875,4085,0.576131615
A' Chraileag [A' Chralaig],214,11,11B,11.2,1120,3675,33,414N 414S,NH094147,NH0943114791,209431,814791,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,29096.84249,124.9788438,192750.5388,838631.8988,Attadale,KYL,192463.9018,839041.5807,2019/P08,31868,200738,112875,4085,0.576131615
A' Ghlas-bheinn,204,11,11A,11.1,918,3012,25 33,414N,NH008231,NH0082223105,200822,823105,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,17495.34412,117.6752103,192696.1313,838598.7834,Attadale,KYL,192463.9018,839041.5807,2019/P08,31868,200738,112875,4085,0.576131615
A' Mhaighdean,243,14,14A,14.1,967,3173,19,433 435S,NH007749,NH0077674912,200776,874912,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A832,A Road,1022.038961,22147.44587,313.610789,216052.3314,858876.3192,Achnasheen,KYL,216397.2093,858514.2982,2019/P08,31868,200738,112875,4085,0.576131615
A' Mharconaich,109,5,05A,5,973.2,3193,42,OL50 393,NN604762,NN6042376293,260423,776293,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A9,A Road,9965.581518,8641.947867,70.8187891,263262.3719,784455.1829,Dalwhinnie,HGL2,263426.6504,784927.425,2019/P08,31868,200738,112875,4085,0.576131615
Am Basteir,271,17,17B,17.2,934,3064,32,411,NG465253,NG4656325301,146563,825301,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A863,A Road,778.3428571,29238.82886,3.436735345,175749.2457,827053.7621,Kyle Of Lochalsh,KYL,176248.3465,827083.7353,2019/P08,31868,200738,112875,4085,0.576131615
Am Bodach,89,4,04A,4.1,1031.8,3385,41,392,NN176650,NN1763765097,217637,765097,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,B863,B Road,777.2,11027.27443,127.9507675,210855.4012,773792.4413,Fort William,WHL,210547.9091,774186.711,2019/P08,31868,200738,112875,9093,0.576131615
Am Faochagach,259,15,15A,15.1,953,3127,20,436N 436S,NH303793,NH3036179372,230361,879372,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A835,A Road,2414.327381,16432.52741,276.211455,232138.9684,863035.9422,Lochluichart,KYL,232193.0675,862538.8775,2019/P08,31868,200738,112875,4085,0.576131615
An Caisteal,8,1,01C,1.3,995.8,3267,50 56,OL39N 364N,NN378193,NN3787319343,237873,719343,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,5285.673537,84.19170671,238407.9117,724601.5373,Crianlarich,WHL,238458.5119,725098.9703,2019/P08,31868,200738,112875,9093,0.576131615
An Coileachan,257,14,14B,14.2,923.9,3031,20,436S,NH241680,NH2417268024,224172,868024,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A832,A Road,1022.038961,6306.732883,285.8050896,225889.7378,861955.7007,Achanalt,KYL,226025.9207,861474.6038,2019/P08,31868,200738,112875,4085,0.576131615
An Gearanach,87,4,04A,4.1,981.4,3220,41,392,NN187669,NN1877266989,218772,766989,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,B863,B Road,777.2,10428.98508,138.807638,210924.1605,773857.4164,Fort William,WHL,210547.9091,774186.711,2019/P08,31868,200738,112875,4085,0.576131615
An Riabhachan,230,12,12B,12.2,1129,3704,25,430,NH133344,NH1336334482,213363,834482,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A890,A Road,714.9047619,18620.10261,133.0902333,200642.6899,848079.865,Achnashellach,KYL,200301.1153,848445.0044,2019/P08,31868,200738,112875,4085,0.576131615
An Sgarsoch,115,6,06A,6.1,1006.5,3302,43,OL51E 394E,NN933836,NN9333983685,293339,783685,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,B8079,B Road,,18960.55633,251.1473389,287212.1686,765741.627,Blair Atholl,HGL2,287050.6008,765268.4507,2019/P08,31868,200738,112875,131,0.576131615
An Socach,125,6,06B,6.2,944,3097,43,OL52N 387N,NO079800,NO0793980015,307939,780015,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A93,A Road,5186.125,25069.23811,215.2208825,287459.0682,765556.8158,Blair Atholl,HGL2,287050.6008,765268.4507,2019/P08,31868,200738,112875,131,0.576131615
An Socach,125,6,06B,6.2,944,3097,43,OL52N 387N,NO079800,NO0793980015,307939,780015,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A93,A Road,5186.125,25069.23811,215.2208825,287459.0682,765556.8158,Blair Atholl,HGL2,287050.6008,765268.4507,2019/P08,31868,200738,112875,4085,0.576131615
An Socach,231,12,12B,12.2,1069,3507,25,429 430,NH100332,NH1006133274,210061,833274,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A890,A Road,714.9047619,17539.25508,122.7541853,200571.6333,848024.5047,Achnashellach,KYL,200301.1153,848445.0044,2019/P08,31868,200738,112875,131,0.576131615
An Socach,231,12,12B,12.2,1069,3507,25,429 430,NH100332,NH1006133274,210061,833274,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A890,A Road,714.9047619,17539.25508,122.7541853,200571.6333,848024.5047,Achnashellach,KYL,200301.1153,848445.0044,2019/P08,31868,200738,112875,4085,0.576131615
An Socach,207,11,11A,11.1,921,3022,25 33,414N,NH088229,NH0881722997,208817,822997,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A87,A Road,2096.384615,22409.65715,135.5456013,192820.8058,838691.41,Attadale,KYL,192463.9018,839041.5807,2019/P08,31868,200738,112875,131,0.576131615
An Socach,207,11,11A,11.1,921,3022,25 33,414N,NH088229,NH0881722997,208817,822997,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,22409.65715,135.5456013,192820.8058,838691.41,Attadale,KYL,192463.9018,839041.5807,2019/P08,31868,200738,112875,4085,0.576131615
An Stuc,34,2,02B,2.2,1117.1,3665,51,OL48E 378E,NN638431,NN6389043103,263890,743103,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A827,A Road,1513.814516,25703.8163,145.6696776,242663.7899,757599.0055,Rannoch,WHL,242250.8899,757880.9871,2019/P08,31868,200738,112875,131,0.576131615
An Teallach - Bidein a' Ghlas Thuill,247,14,14A,14.1,1062.5,3486,19,435N,NH068843,NH0689684366,206896,884366,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A832,A Road,1022.038961,27042.39394,290.1797642,216224.7259,858983.6057,Achnasheen,KYL,216397.2093,858514.2982,2019/P08,31868,200738,112875,4085,0.576131615
An Teallach - Sgurr Fiona,248,14,14A,14.1,1058.6,3473,19,435N,NH064836,NH0640683679,206406,883679,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A832,A Road,1022.038961,26575.5698,291.6546957,216212.7033,858979.0105,Achnasheen,KYL,216397.2093,858514.2982,2019/P08,31868,200738,112875,4085,0.576131615
Aonach air Chrith,177,10,10A,10.1,1019.5,3345,33,414S,NH051083,NH0510308354,205103,808354,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,29540.71638,270.626207,205425.8551,778815.0479,Loch Eil,MLG2,205431.3197,778315.0778,2019/P08,31868,200738,112875,4085,0.576131615
Aonach Beag,74,4,04A,4.1,1234,4049,41,392,NN197715,NN1970771502,219707,771502,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A82,A Road,12752.39019,9044.454896,163.6630937,211027.7213,774046.0686,Fort William,WHL,210547.9091,774186.711,2019/P08,31868,200738,112875,4085,0.576131615
Aonach Beag,99,4,04B,4.2,1115.8,3661,42,OL50 393,NN457741,NN4578674190,245786,774190,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A86,A Road,1161.698413,11375.18369,149.4810169,235986.7234,779966.5891,Tulloch,WHL,235555.9929,780220.501,2019/P08,31868,200738,112875,4085,0.576131615
Aonach Eagach - Meall Dearg,48,3,03A,3.1,952.2,3124,41,384,NN161583,NN1612458363,216124,758363,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,16277.44377,109.4118622,210714.0873,773715.1341,Fort William,WHL,210547.9091,774186.711,2019/P08,31868,200738,112875,9093,0.576131615
Aonach Eagach - Sgorr nam Fiannaidh,47,3,03A,3.1,967.7,3175,41,384,NN140583,NN1404458304,214044,758304,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,15762.93824,102.4139371,210655.3955,773698.401,Fort William,WHL,210547.9091,774186.711,2019/P08,31868,200738,112875,9093,0.576131615
Aonach Meadhoin,201,11,11A,11.1,1001,3284,33,414N 414S,NH048137,NH0488513766,204885,813766,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,27307.10455,131.3372941,186848.9161,834269.1128,Stromeferry,KYL,186518.6708,834644.53,2019/P08,31868,200738,112875,4085,0.576131615
Aonach Mor,75,4,04A,4.1,1221,4006,41,392,NN193729,NN1930472961,219304,772961,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A82,A Road,12752.39019,8341.464545,172.0312992,211043.0811,774117.3949,Fort William,WHL,210547.9091,774186.711,2019/P08,31868,200738,112875,4085,0.576131615
Beinn a' Bheithir - Sgorr Dhearg,55,3,03B,3.2,1024,3360,41,384,NN056558,NN0568455846,205684,755846,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,18474.70136,75.14720475,210419.7408,773703.4172,Fort William,WHL,210547.9091,774186.711,2019/P08,31868,200738,112875,9093,0.576131615
